Name,TotalTime,TotalTargetsFound,TimePerTarget
stefan,180.48691987991333,3,60.16230662663778
lenny,184.55951571464539,10,18.45595157146454
Jonas,171.60327291488647,8,21.45040911436081
Josi,147.7223925590515,7,21.10319893700736
oswin,147.79698753356934,3,49.26566251118978
Linda,147.01840686798096,9,16.335378540886772
Cynthia,115.38693165779114,8,14.423366457223892
Sarah,127.86402487754822,9,14.207113875283135
Divya,118.8148684501648,9,13.20165205001831
Paul,78.77246737480164,11,7.161133397709239
Dagmar,114.20505809783936,9,12.689450899759928
Lukas,296.7410283088684,9,32.971225367652046
Benjamin,113.75394082069397,9,12.639326757854885
Jakob,158.80512118339539,9,17.64501346482171
Ulf,197.1953809261322,5,39.43907618522644
Kanthida,57.51517581939697,0,inf
Philipp,155.8130807876587,3,51.93769359588623
Adam,177.16683292388916,6,29.52780548731486
Richard,101.02781319618225,4,25.256953299045563
Karen,231.78995561599731,10,23.17899556159973
Karen2,59.35613989830017,3,19.785379966100056
Aimo,57.07201957702637,9,6.341335508558485
Ethan,156.1200819015503,9,17.34667576683892
Peio,212.36433601379395,11,19.305848728526723
Elias,164.56934022903442,10,16.456934022903443
Inga,59.78675723075867,3,19.928919076919556
Eva,46.69222331047058,3,15.564074436823526
Christoph,105.70057320594788,6,17.616762200991314
Raya,61.242287158966064,12,5.103523929913838
aaliyah,76.27810859680176,4,19.06952714920044
Elias,123.85832476615906,4,30.964581191539764
Andrea,114.86054730415344,9,12.762283033794827
Jan,38.14421105384827,7,5.449173007692609
Gisela,147.4275417327881,4,36.85688543319702
Giorgianna,157.06913805007935,11,14.279012550007213
Tanja,166.87688994407654,12,13.906407495339712
Joris,57.58050847053528,9,6.39783427450392
Joris2,65.7168402671814,10,6.57168402671814
Anna,67.11752986907959,7,9.588218552725655
David,140.68972158432007,9,15.632191287146675